Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BLOK,Amplify Transformational Data Sharing ETF,Equity,"$702,185,000",24.56%,"190,817",$37.18,-0.88%,No,False,4.15%,0.16%,93.07%,-2.88%,19.82%,"-$572,041,500.00",$0.00,$0.00,"-$159,227,000.00","-$95,187,500.00","$856,311,000.00",Technology Equities,2018-01-16,0.76%,N/A,$0.34,2023-12-27,$0.34,0.92%,0.00,1.50,55,38.55%,40%,20%,1099,$32.55,$37.79,$36.98,$37.57,57.78,A-,C+,C,C,A,N/A,5.39,24.24%,27.18%,169.36,2.72%,2.11%
CQQQ,Invesco China Technology ETF,Equity,"$612,950,000",-3.12%,"208,588",$34.83,-2.55%,No,False,11.35%,7.27%,-1.47%,-18.96%,-5.65%,"-$10,203,550.00","-$9,781,200.00","-$37,506,700.00","-$92,287,550.00","-$97,418,750.00","$771,753,500.00",China Equities,2009-12-08,0.65%,Charles Schwab,$0.20,2023-12-18,$0.20,0.58%,49.82,0.64,149,56.73%,40%,20%,1099,$29.50,$34.21,N/A,N/A,61.12,A,B-,C+,C,B+,B-,3.97,15.48%,4.54%,66.09,0.00%,2.86%
NVDU,Direxion Daily NVDA Bull 2X Shares,Equity,"$585,144,000",253.08%,"919,685",$96.99,4.49%,No,2x,18.46%,-12.27%,341.14%,N/A,N/A,"$441,748,875.00","$12,927,600.00","$70,284,275.00","$456,893,325.00","$457,462,725.00","$457,462,725.00",Leveraged Equities,2023-09-13,1.04%,N/A,$1.42,2024-09-24,$0.50,1.46%,N/A,N/A,2,100.00%,40%,20%,1099,$67.72,$102.87,$94.43,$99.32,53.55,A,C,N/A,A,B-,N/A,6.77,68.64%,59.36%,5.5,0.00%,12.50%
QQH,HCM Defender 100 Index ETF,Equity,"$503,930,000",24.67%,"24,945",$62.67,0.21%,No,False,4.19%,3.82%,42.02%,6.82%,N/A,"$44,461,500.00",$0.00,$0.00,"$40,431,000.00","$142,016,000.00","$340,863,474.79",Technology Equities,2019-10-10,0.96%,N/A,$0.14,2023-12-15,$0.14,0.22%,0.03,0.99,98,68.16%,40%,20%,1099,$57.06,$63.15,$62.48,$62.89,61.58,B,C,N/A,A,C,N/A,6.62,31.61%,52.32%,49.58,6.36%,6.63%
SOXQ,Invesco PHLX Semiconductor ETF,Equity,"$495,574,000",23.61%,"488,775",$40.42,0.70%,No,False,5.63%,-1.78%,55.21%,15.33%,N/A,"$266,980,980.00","$2,398,020.00","-$5,314,940.00","$274,100,980.00","$338,002,400.00","$353,319,780.00",Technology Equities,2021-06-11,0.19%,N/A,$0.27,2024-09-23,$0.07,0.68%,15.08,1.56,32,60.33%,40%,20%,1099,$36.00,$41.27,$40.05,$40.75,53.67,A-,A,C+,C,A-,N/A,8.1,95.76%,97.81%,45.6,0.00%,15.11%
PTF,Invesco Dorsey Wright Technology Momentum ETF,Equity,"$449,115,000",24.11%,"23,312",$62.69,-0.71%,No,False,3.64%,-2.81%,46.75%,5.37%,21.80%,"-$106,920,770.00","-$2,488,490.00","$1,100,050.00","$12,421,910.00","$85,931,080.26","-$62,774,529.74",Technology Equities,2006-10-12,0.60%,N/A,$0.02,2023-09-18,$0.02,0.03%,25.87,1.23,35,44.83%,40%,20%,1099,$56.54,$64.53,$62.43,$63.16,54.75,B-,B-,A-,B-,C,B,6.68,48.02%,55.08%,9.58,0.00%,5.55%
CONL,GraniteShares 2x Long COIN Daily ETF,Equity,"$440,015,000",-34.49%,"3,208,705",$22.18,-5.29%,No,1.5x,5.12%,-39.92%,138.51%,N/A,N/A,"$742,942,600.00","$38,541,800.00","$95,824,600.00","$756,800,800.00","$765,522,823.32","$765,522,823.32",Leveraged Equities,2022-08-09,1.15%,N/A,$0.11,2024-02-27,$0.11,0.49%,0.00,9.98,2,100.00%,40%,20%,1099,$16.26,$29.08,$21.53,$23.42,40.17,N/A,C,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WCLD,WisdomTree Cloud Computing Fund,Equity,"$407,471,000",-9.50%,"189,568",$31.63,-0.88%,No,False,1.54%,-0.47%,10.31%,-19.84%,5.86%,"-$212,377,620.00","-$5,524,487.50","-$10,129,107.50","-$274,591,130.00","-$322,915,517.50","$569,868,119.45",Technology Equities,2019-09-06,0.45%,N/A,$0.00,N/A,N/A,0.00%,-24.83,1.09,66,17.38%,40%,20%,1099,$29.99,$32.34,$31.54,$31.80,53.97,A-,A-,N/A,C,C+,N/A,6.73,50.23%,57.78%,20.93,0.00%,1.30%
IGPT,Invesco AI and Next Gen Software ETF,Equity,"$390,912,000",16.52%,"59,485",$44.99,0.31%,No,False,4.26%,-0.46%,42.09%,-1.11%,9.43%,"$176,857,240.00",$0.00,$0.00,"$165,641,200.00","-$6,368,010.45","-$249,844,550.45",Technology Equities,2005-06-23,0.58%,N/A,$0.00,2022-12-19,$0.50,0.00%,N/A,N/A,101,58.89%,40%,20%,1099,$41.28,$45.51,$44.78,$45.27,55.36,A-,B,C+,A,A,N/A,6.99,60.74%,69.20%,53.24,0.00%,13.48%
EMQQ,EMQQ The Emerging Markets Internet ETF,Equity,"$388,007,000",21.54%,"42,085",$37.44,-0.90%,No,False,8.16%,7.88%,29.94%,-9.09%,3.88%,"-$79,477,409.42","-$5,403,353.81","-$5,405,311.90","-$156,799,711.82","-$485,920,130.47","$301,051,249.27",Emerging Markets Equities,2014-11-13,0.86%,N/A,$0.25,2023-12-26,$0.24,0.66%,19.82,0.75,68,59.20%,40%,20%,1099,$32.10,$37.04,N/A,N/A,69.99,A-,C,A+,C,C,C+,5.4,24.33%,27.32%,54.67,0.00%,0.68%
XSW,SPDR S&P Software & Services ETF,Equity,"$367,386,000",5.77%,"10,343",$158.86,-0.58%,No,False,1.90%,1.38%,28.46%,-3.78%,11.32%,"-$18,837,379.86",$0.00,"-$4,445,018.32","-$6,391,855.68","-$135,657,014.48","$12,436,809.89",Technology Equities,2011-09-28,0.35%,N/A,$0.17,2024-06-24,$0.14,0.11%,25.97,1.13,145,7.97%,40%,20%,1099,$148.70,$161.41,$158.43,$159.73,58.79,B,A,B-,B,B-,A,6.58,45.53%,50.78%,7.44,0.71%,1.91%
FNGO,MicroSectors FANG+ Index 2X Leveraged ETNs,Equity,"$361,447,000",56.35%,"25,608",$72.00,-0.22%,No,2x,5.90%,2.80%,119.31%,16.06%,58.41%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2018-08-01,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.03,2.54,10,100.00%,40%,20%,1099,$60.43,$74.25,$71.61,$72.61,55.52,B,A-,N/A,C+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
