Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"$253,280,000",12.02%,"92,111",$21.20,-1.12%,No,False,-0.43%,5.32%,33.73%,4.38%,0.53%,"$2,538,360.00","$4,990,120.00","$7,904,930.00","$3,019,400.00","-$47,339,740.00","$26,447,690.00",Real Estate,2010-12-02,0.35%,N/A,$1.57,2024-09-23,$0.13,7.42%,48.18,1.25,29,48.38%,40%,20%,1099,$19.88,$21.79,$21.08,$21.39,65.30,B+,B+,A,A,A+,B-,4.08,3.33%,5.06%,58.66,3.01%,11.22%
SRET,Global X SuperDividend REIT ETF,Real Estate,"$230,598,000",6.81%,"27,865",$22.36,-1.32%,No,False,-1.50%,3.38%,21.42%,-0.59%,-5.72%,"-$28,033,397.32","$35,011.90","-$2,239,663.58","-$26,279,980.56","-$154,328,965.48","$185,015,713.34",Real Estate,2015-03-16,0.59%,E*TRADE,$1.64,2024-09-05,$0.16,7.36%,10.20,1.22,32,38.46%,40%,20%,1099,$21.64,$22.92,$22.25,$22.57,63.22,A-,C+,C,A,A,B,4.22,0.26%,5.72%,28.16,3.56%,11.36%
INDS,Pacer Industrial Real Estate ETF,Real Estate,"$223,431,000",5.02%,"21,565",$43.32,-1.03%,No,False,-0.45%,1.01%,25.40%,1.66%,8.71%,"-$11,976,500.00",$0.00,"-$4,292,000.00","-$9,621,000.00","-$3,266,500.00","$193,610,500.00",Real Estate,2018-05-14,0.60%,N/A,$1.59,2024-06-27,$0.20,3.63%,0.06,0.87,29,64.34%,40%,20%,1099,$41.96,$44.33,$43.12,$43.65,58.10,B,C+,A-,C,C+,N/A,6.03,53.89%,37.21%,16.56,0.00%,12.99%
FRI,First Trust S&P REIT Index Fund,Real Estate,"$196,042,000",15.24%,"61,842",$29.80,-0.50%,No,False,0.15%,3.49%,34.45%,3.80%,5.28%,"$52,727,350.00",$0.00,"$32,120,750.00","$45,822,550.00","-$322,000.00","$35,978,150.00",Real Estate,2007-05-08,0.50%,N/A,$0.66,2024-06-27,$0.28,2.19%,27.75,0.93,136,48.45%,40%,20%,1099,$28.52,$30.31,$29.67,$29.97,66.34,B+,B-,B,B,B-,A,5.61,27.78%,30.11%,94.11,3.98%,17.79%
SPRE,SP Funds S&P Global REIT Sharia ETF,Equity,"$152,830,000",12.20%,"70,255",$22.04,-0.90%,No,False,0.46%,3.94%,29.98%,0.71%,N/A,"$55,751,355.00","$3,322,395.00","$7,074,390.00","$58,436,750.00","$125,575,305.00","$141,460,427.50",Global Real Estate,2020-12-30,0.55%,N/A,$0.84,2024-08-27,$0.07,3.79%,0.03,1.06,37,75.43%,40%,20%,1099,$20.87,$22.54,$21.87,$22.32,62.15,N/A,C,N/A,N/A,C+,N/A,6.2,45.05%,40.79%,75.81,0.00%,19.05%
ROOF,NYLI CBRE NextGen Real Estate ETF,Real Estate,"$145,682,000",10.85%,"15,249",$22.15,-0.63%,No,False,-0.21%,3.39%,28.80%,-1.76%,1.25%,"-$18,161,601.00",$0.00,"-$3,342,871.50","$104,305,777.25","$85,390,908.00","$71,024,936.00",Real Estate,2011-06-14,0.60%,N/A,$0.57,2024-09-20,$0.16,2.58%,16.80,1.15,94,43.94%,40%,20%,1099,$21.11,$22.74,$22.09,$22.28,63.47,C,C,C+,A-,A-,B+,6.57,94.44%,50.62%,107.91,0.00%,21.27%
PPTY,US Diversified Real Estate ETF,Real Estate,"$143,798,000",15.86%,"9,286",$34.46,-0.66%,No,False,0.00%,3.29%,33.97%,2.66%,5.17%,"-$1,470,500.00",$0.00,$0.00,"-$1,543,000.00","$774,500.00","$11,499,500.00",Real Estate,2018-03-26,0.53%,N/A,$1.11,2024-07-16,$0.27,3.19%,0.03,0.95,95,33.54%,40%,20%,1099,$32.97,$35.09,$34.32,$34.66,64.61,C+,B-,B,A-,B,N/A,5.33,10.00%,26.43%,115.4,0.00%,21.98%
DRN,Direxion Daily Real Estate Bull 3x Shares,Real Estate,"$123,660,000",28.74%,"1,554,828",$13.44,-1.32%,No,3x,0.57%,10.09%,103.94%,-13.87%,-11.67%,"$13,818,550.00","$4,056,400.00","$6,121,400.00","$25,673,350.00","-$9,288,050.00","$27,408,950.00",Leveraged Real Estate,2009-07-16,1.01%,N/A,$0.25,2024-09-24,$0.06,1.82%,0.03,2.70,33,68.41%,40%,20%,1099,$11.81,$14.17,$13.23,$13.71,65.60,A+,C+,A+,C+,B+,A-,6.35,43.79%,43.84%,92.53,1.75%,9.45%
RSPR,Invesco S&P 500 Equal Weight Real Estate ETF,Equity,"$114,880,000",15.80%,"29,937",$37.96,-0.65%,No,False,-1.06%,3.04%,36.26%,2.96%,7.12%,"-$2,109,280.00","-$379,760.00","$5,956,040.00","$15,576,790.00","$36,108,590.00","$74,542,400.00",Real Estate,2015-08-13,0.40%,N/A,$0.97,2024-06-24,$0.20,2.54%,N/A,N/A,33,33.13%,40%,20%,1099,$36.51,$38.88,$37.81,$38.19,61.93,B+,A-,C,C+,A-,N/A,6.25,82.22%,41.76%,73.36,3.32%,17.07%
IFGL,iShares International Developed Real Estate ETF,Real Estate,"$110,616,000",6.68%,"16,597",$22.65,-1.82%,No,False,0.13%,2.95%,23.41%,-5.27%,-1.85%,"-$14,212,980.00","$2,273,740.00","$2,273,740.00","-$26,916,110.00","-$88,695,690.00","-$190,443,770.00",Global Real Estate,2007-11-12,0.54%,Fidelity,$0.71,2024-06-11,$0.40,3.15%,7.93,0.83,263,28.02%,40%,20%,1099,$21.80,$23.22,$22.55,$22.77,58.39,A-,B+,B+,A,B+,A-,6.85,92.97%,62.71%,59.19,0.00%,34.71%
URE,ProShares Ultra Real Estate,Real Estate,"$85,645,200",21.21%,"8,180",$76.34,-1.29%,No,2x,-0.02%,6.27%,67.03%,-5.82%,-1.28%,"$3,681,182.02",$0.00,"$3,623,285.00","$2,123,654.32","-$18,299,570.66","-$76,715,775.66",Leveraged Real Estate,2007-01-30,0.95%,N/A,$1.28,2024-06-26,$0.53,1.66%,0.00,1.82,34,66.53%,40%,20%,1099,$70.30,$79.38,$76.17,$76.67,64.62,B+,B-,A-,A-,A-,A+,6.5,49.11%,48.07%,95.22,2.09%,11.30%
PSR,Invesco Active U.S. Real Estate Fund,Real Estate,"$69,377,700",10.44%,"3,286",$98.71,-0.47%,No,False,0.30%,3.82%,29.41%,0.50%,3.76%,"-$29,572,900.00",$0.00,"$2,898,180.00","-$38,111,850.00","-$43,595,410.00","-$30,769,360.00",Real Estate,2008-11-20,0.35%,N/A,$2.76,2024-09-23,$0.69,2.79%,38.51,0.88,29,55.31%,40%,20%,1099,$94.02,$100.33,$98.69,$98.72,67.30,C+,B+,A,B,B-,B+,6.32,85.56%,43.15%,80.01,0.00%,16.82%
DRV,Direxion Daily Real Estate Bear 3X Shares,Real Estate,"$61,185,500",-30.58%,"160,194",$23.06,1.41%,Yes,-3x,-0.71%,-9.27%,-60.66%,-19.01%,-37.93%,"-$3,342,600.00",$0.00,"$3,442,800.00","-$6,320,650.00","$108,581,813.88","$177,558,213.88",Leveraged Real Estate,2009-07-16,1.10%,N/A,$1.51,2024-09-24,$0.30,6.61%,0.00,-2.34,1,100.00%,40%,20%,1099,$21.68,$26.19,$22.62,$23.38,33.67,A-,B,B-,B,B,B,5.61,40.32%,30.17%,1.82,0.00%,0.00%
NURE,Nuveen Short-Term REIT ETF,Real Estate,"$55,861,400",13.77%,"5,492",$34.54,-1.09%,No,False,-0.49%,3.08%,31.40%,1.34%,5.48%,"$105,437.74","-$1,754,736.80","-$12,883.23","-$5,598,597.26","-$5,535,632.26","$15,319,252.74",Real Estate,2016-12-19,0.36%,N/A,$1.15,2024-06-27,$0.23,3.33%,26.51,0.92,34,50.02%,40%,20%,1099,$33.23,$35.35,$34.41,$34.72,61.11,B,A-,A+,C,B,B,4.5,5.00%,15.06%,50.84,0.00%,7.31%
NETL,NETLease Corporate Real Estate ETF,Real Estate,"$54,199,600",12.03%,"11,225",$26.97,-0.59%,No,False,-0.89%,2.72%,32.23%,1.16%,4.14%,"-$15,478,395.00",$0.00,$0.00,"-$30,739,287.50","-$48,486,492.50","$43,050,435.00",Real Estate,2019-03-22,0.60%,N/A,$1.18,2024-09-24,$0.10,4.35%,0.03,1.02,23,60.31%,40%,20%,1099,$26.17,$27.53,$26.86,$27.12,61.82,B-,C+,C+,A-,A-,N/A,3.83,1.11%,3.91%,32.46,11.34%,0.33%
REIT,ALPS Active REIT ETF,Real Estate,"$37,268,300",13.80%,"10,454",$29.17,-0.48%,No,False,0.48%,3.49%,32.87%,4.27%,N/A,"$13,812,350.00","$870,300.00","$2,149,350.00","$13,812,350.00","$12,423,050.00","$33,131,700.00",Real Estate,2021-02-24,0.68%,N/A,$0.89,2024-09-19,$0.21,3.07%,0.00,1.01,32,49.90%,40%,20%,1099,$27.88,$29.63,$28.93,$29.57,65.08,C+,C,B+,B+,C,N/A,5.65,30.56%,30.61%,84.16,6.45%,16.42%
BLDG,Cambria Global Real Estate ETF,Real Estate,"$32,839,000",14.83%,"4,408",$27.17,-0.98%,No,False,0.81%,4.99%,27.86%,2.27%,N/A,"$6,180,740.00",$0.00,$0.00,"$6,180,740.00","$15,657,240.00","$32,914,240.00",Global Real Estate,2020-09-24,0.59%,N/A,$1.67,2024-09-20,$0.42,6.13%,0.05,0.87,77,17.45%,40%,20%,1099,$25.30,$27.66,$27.16,$27.20,68.74,C+,B-,N/A,N/A,C+,N/A,4.91,2.08%,21.66%,57.4,0.00%,23.25%
JRE,Janus Henderson U.S. Real Estate ETF,Equity,"$27,447,000",14.88%,342,$26.00,-0.61%,No,False,-0.06%,3.49%,29.89%,2.66%,N/A,"$19,457,500.00",$0.00,$0.00,"$17,750,250.00","$12,616,000.00","$13,270,500.00",Real Estate,2021-06-22,0.65%,N/A,$0.56,2024-06-28,$0.03,2.14%,0.04,1.00,24,62.78%,40%,20%,1099,$24.85,$26.59,$25.98,$26.04,66.19,C+,B,B,B,A-,N/A,5.86,45.56%,34.49%,69.74,0.00%,14.27%
SRS,ProShares UltraShort Real Estate,Real Estate,"$26,492,300",-20.67%,"42,474",$11.06,-0.81%,Yes,-2x,-1.96%,-7.67%,-44.72%,-7.77%,-20.85%,"-$4,591,700.12",$0.00,$0.00,"-$17,751,763.55","$19,395,020.55","$49,716,402.95",Leveraged Real Estate,2007-01-30,0.95%,N/A,$0.76,2024-06-26,$0.24,6.78%,0.00,-1.67,3,100.01%,40%,20%,1099,$10.77,$12.24,$10.93,$11.14,30.59,A,C,B,A,B-,A,0.0,N/A,N/A,N/A,N/A,N/A
