Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPXT,ProShares S&P 500 Ex-Technology ETF,"$69,874",17.14%,"4,391",$89.99,-0.82%,0.57%,2.07%,28.47%,7.36%,11.89%,"$17,086,314.09","$5,423,376.00","$5,423,376.00","$19,559,066.62","$50,121,868.61","$53,312,071.61",Large Cap Growth Equities,2015-09-22,0.09%,N/A,$1.33,2024-06-26,$0.37,1.47%,16.75,0.93,435,26.23%,40%,20%,1099,$86.64,$91.19,$89.76,$90.44,61.00,B+,C,A-,C+,A,A-,B+,6.18,6.56%,40.21%,133.4,15.12%,2.76%
FCTR,First Trust Lunt U.S. Factor Rotation ETF,"$66,835",12.22%,"7,486",$31.08,0.03%,2.43%,4.87%,28.81%,-3.60%,8.28%,"-$25,027,900.00",$0.00,"-$1,508,450.00","-$71,348,250.00","-$311,972,650.00","$87,107,400.00",Large Cap Growth Equities,2018-07-25,0.65%,N/A,$0.21,2024-06-27,$0.07,0.66%,12.35,1.04,158,16.21%,40%,20%,1099,$28.98,$31.31,$31.05,$31.13,62.58,B-,B+,C,N/A,B,C+,N/A,6.49,18.31%,48.02%,183.21,7.24%,3.65%
QARP,Xtrackers Russell 1000 US Quality at a Reasonable Price ETF,"$66,148",16.58%,"15,578",$51.63,-0.39%,1.04%,1.70%,26.90%,9.61%,15.30%,"-$9,804,625.00",$0.00,"-$2,566,950.00","$23,277,950.00","$10,552,200.00","-$96,770,900.00",Large Cap Growth Equities,2018-04-05,0.19%,N/A,$0.67,2024-09-20,$0.17,1.29%,0.04,1.01,351,34.67%,40%,20%,1099,$49.69,$52.14,$51.60,$51.68,61.12,B+,C,B+,B-,A-,A-,N/A,6.47,17.03%,47.39%,70.09,3.28%,2.57%
FFTY,Innovator IBD 50 ETF,"$65,904",10.05%,"130,680",$26.82,-0.26%,1.55%,4.07%,23.40%,-18.64%,-3.13%,"-$29,366,055.00",$0.00,"-$2,548,010.00","-$36,845,162.50","-$92,352,332.50","-$248,435,807.50",Large Cap Growth Equities,2015-04-09,0.80%,N/A,$0.16,2023-12-28,$0.16,0.58%,0.10,1.14,51,33.74%,40%,20%,1099,$24.15,$27.50,$26.73,$26.99,57.11,B-,B+,C,A-,B-,C,N/A,4.92,1.24%,21.75%,205.61,0.46%,8.35%
IWLG,NYLI Winslow Large Cap Growth ETF,"$64,589",25.19%,"8,380",$45.58,0.26%,3.18%,4.07%,49.02%,N/A,N/A,"$33,350,940.00",$0.00,"$7,236,560.00","$33,350,940.00","$45,244,540.00","$45,244,540.00",Large Cap Growth Equities,2022-06-23,0.60%,N/A,$0.00,2023-12-15,$0.00,0.01%,31.40,-1.12,42,57.40%,40%,20%,1099,$41.57,$46.14,$45.58,$45.58,61.19,N/A,C,B,N/A,N/A,N/A,N/A,6.96,81.39%,67.72%,27.25,10.48%,9.14%
GBUY,Future Consumer Equity ETF,"$63,233",21.77%,"4,775",$34.22,-0.20%,3.47%,3.17%,37.32%,N/A,N/A,"-$31,935,250.00",$0.00,$0.00,"-$108,624,500.00","-$9,398,000.00","-$9,398,000.00",Large Cap Growth Equities,2021-11-09,0.75%,N/A,$0.13,2023-12-28,$0.00,0.37%,27.68,1.17,48,51.50%,40%,20%,1099,$31.84,$34.30,$34.04,$34.35,61.69,C,C+,C,N/A,C+,C+,N/A,6.53,64.65%,49.31%,86.29,16.94%,7.44%
WOMN,Tidal Trust III YWCA WOMENS EMPOWERMENT ETF,"$61,860",16.09%,"3,440",$38.50,-0.39%,0.90%,2.24%,30.28%,9.17%,17.65%,"$4,517,161.39","$7,249.42","$963,258.30","$10,946,339.10","$20,926,548.47","$40,881,356.64",Large Cap Growth Equities,2018-08-24,0.75%,N/A,$0.61,2024-06-28,$0.08,1.57%,0.04,1.01,203,32.71%,40%,20%,1099,$37.04,$38.93,$38.47,$38.55,62.04,B+,C+,C,A-,A-,A,N/A,6.79,65.67%,60.33%,81.63,7.36%,2.65%
XYLG,Global X S&P 500 Covered Call & Growth ETF,"$59,752",16.94%,"12,062",$31.92,-0.13%,1.00%,1.93%,26.08%,7.40%,N/A,"-$9,108,432.43","-$2,552,771.18","-$3,828,850.17","-$11,234,047.20","$25,996,601.92","$52,640,537.65",Large Cap Growth Equities,2020-09-18,0.35%,N/A,$1.40,2024-09-23,$0.13,4.38%,17.68,0.81,505,34.80%,40%,20%,1099,$30.61,$32.18,$31.84,$32.01,62.66,B+,B,A-,B,B-,A-,N/A,6.69,76.57%,55.91%,97.2,10.89%,7.31%
SPXN,ProShares S&P 500 Ex-Financials ETF,"$58,709",20.63%,"5,520",$61.52,-0.39%,1.90%,2.34%,34.72%,10.66%,16.37%,"-$2,890,825.07","-$1,229,288.00","-$1,229,288.00","$4,667,048.31","$33,846,541.86","$36,975,185.86",Large Cap Growth Equities,2015-09-22,0.09%,N/A,$1.06,2024-06-26,$0.18,1.72%,18.76,1.01,401,40.66%,40%,20%,1099,$58.05,$62.24,$61.52,$61.52,59.83,B+,C,A,B+,B+,B,B+,6.79,65.97%,60.47%,106.08,10.75%,8.17%
LEAD,Siren DIVCON Leaders Dividend ETF,"$58,512",13.44%,"2,028",$68.54,-0.29%,1.39%,2.26%,27.53%,8.77%,15.73%,"$1,544,530.00",$0.00,$0.00,"$338,215.00","$4,060,800.00","-$1,911,942.50",Large Cap Growth Equities,2016-01-06,0.43%,N/A,$0.67,2024-09-24,$0.15,0.97%,0.03,0.98,59,29.63%,40%,20%,1099,$65.27,$69.42,$68.43,$68.77,59.62,B,C+,B,A,B+,B-,C+,7.05,87.81%,71.97%,64.57,4.17%,2.74%
PSET,Principal Quality ETF,"$56,560",15.58%,"1,365",$70.54,-0.35%,2.05%,2.80%,31.34%,9.17%,14.44%,"$7,966,330.00",$0.00,$0.00,"$7,429,844.00","-$47,193,921.00","$14,355,624.00",Large Cap Growth Equities,2016-03-21,0.15%,N/A,$0.50,2024-07-01,$0.11,0.72%,15.44,0.94,74,31.39%,40%,20%,1099,$65.88,$71.56,$70.40,$70.69,59.10,A-,B-,A-,A-,A-,B,B,7.24,93.39%,79.61%,40.96,2.50%,7.06%
SPXE,ProShares S&P 500 Ex-Energy ETF,"$55,501",21.19%,"1,323",$61.42,-0.39%,1.54%,2.20%,36.81%,9.68%,15.71%,"$5,668,050.86",$0.00,$0.00,"$6,637,578.83","$14,771,189.53","$25,114,824.53",Large Cap Growth Equities,2015-09-22,0.09%,N/A,$1.09,2024-06-26,$0.19,1.76%,19.11,0.97,482,35.91%,40%,20%,1099,$58.28,$62.15,$61.36,$61.54,60.39,A-,C,A,A-,B+,B,A-,6.71,50.79%,56.65%,89.12,11.30%,7.58%
BUZZ,VanEck Social Sentiment ETF,"$55,197",13.86%,"9,700",$21.28,-0.70%,2.50%,3.25%,42.58%,-6.05%,N/A,"-$15,124,200.00","-$10,588,950.00","-$2,155,460.00","-$19,319,295.00","-$102,365,647.50","$86,945,102.46",Large Cap Growth Equities,2021-02-02,0.75%,N/A,$0.10,2023-12-18,$0.10,0.45%,18.41,1.43,76,31.33%,40%,20%,1099,$19.57,$21.66,$21.20,$21.43,55.98,C,B,C,N/A,C,C,N/A,5.82,3.70%,33.09%,45.67,9.27%,4.97%
NACP,Tidal Trust III NAACP MINORITY EMPOWERMENT ETF,"$50,376",21.57%,"2,292",$41.07,-0.10%,1.85%,2.91%,34.67%,9.67%,16.36%,"-$859,140.42",-$719.38,"$3,443.71","-$862,363.24","$5,487,263.51","$30,802,925.87",Large Cap Growth Equities,2018-07-18,0.49%,N/A,$0.44,2024-06-28,$0.10,1.07%,0.04,1.01,202,39.08%,40%,20%,1099,$38.83,$41.40,N/A,N/A,61.47,B+,C+,B-,A-,B,A-,N/A,6.66,37.27%,53.84%,112.11,10.13%,4.67%
YLDE,ClearBridge Dividend Strategy ESG ETF,"$50,321",13.33%,"2,949",$49.90,-0.83%,0.43%,1.84%,24.56%,9.06%,11.65%,"$6,652,143.27","-$3,981.22","$5,666.26","$12,983,104.91","$22,976,314.99","$31,302,760.23",Large Cap Growth Equities,2017-05-22,0.47%,N/A,$0.72,2024-06-25,$0.20,1.45%,16.02,0.91,55,32.82%,40%,20%,1099,$48.15,$50.60,$49.83,$50.04,60.74,B+,C+,C+,B+,A,A-,N/A,6.87,67.67%,63.95%,207.77,5.88%,2.88%
LCG,Sterling Capital Focus Equity ETF,"$41,905",0.18%,"18,922",$28.53,-1.18%,0.81%,2.48%,25.80%,-2.90%,N/A,"-$22,975,750.00","-$3,622,500.00","-$10,579,250.00","-$27,042,750.00","$22,946,250.00","$43,257,500.00",Large Cap Growth Equities,2020-08-26,0.59%,N/A,$0.00,N/A,N/A,0.00%,51.50,1.24,23,61.83%,40%,20%,1099,$27.23,$29.15,$28.44,$28.70,56.50,B-,B+,B+,C,C+,C+,N/A,7.33,94.89%,82.42%,21.51,4.77%,0.86%
PSCW,Pacer Swan SOS Conservative (April) ETF,"$39,055",10.40%,"5,900",$25.58,-0.08%,1.11%,1.95%,18.59%,5.83%,N/A,"$24,056,500.00","-$1,276,500.00","-$2,535,500.00","$24,627,500.00","$32,117,750.00","$33,169,750.00",Large Cap Growth Equities,2021-04-01,0.60%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.35,3,99.99%,40%,20%,1099,$24.60,$25.74,$25.52,$25.61,63.11,A-,B+,B-,A,A,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FDNI,First Trust Dow Jones International Internet ETF,"$37,426",19.96%,"6,291",$26.94,-0.88%,9.43%,13.86%,33.11%,-12.95%,5.36%,"$4,807,600.00",$0.00,$0.00,"$3,743,900.00","-$38,152,150.00","$62,898,650.00",Large Cap Growth Equities,2018-11-05,0.65%,N/A,$0.07,2024-06-27,$0.07,0.26%,26.04,0.80,40,67.97%,40%,20%,1099,$22.38,$26.66,$26.76,$27.22,69.69,B-,B-,C+,A,C,C,N/A,5.73,26.91%,31.75%,18.43,3.88%,0.03%
LRNZ,"TrueShares Technology, AI & Deep Learning ETF","$36,046",-0.17%,"8,966",$38.14,-0.50%,3.51%,1.95%,32.42%,-8.13%,N/A,"-$720,270.00",$0.00,"-$1,447,902.00","-$1,295,973.00","$15,846,982.50","$38,655,860.00",Large Cap Growth Equities,2020-02-28,0.69%,N/A,$0.00,2021-12-29,$0.06,0.00%,0.00,1.13,23,68.82%,40%,20%,1099,$34.73,$38.88,$38.03,$38.38,56.01,C,C+,C,N/A,C,C,N/A,7.11,67.74%,74.53%,17.75,3.99%,18.79%
SZNE,Pacer CFRA-Stovall Equal Weight Seasonal Rotation ETF,"$35,082",6.71%,"3,500",$38.63,-0.87%,-1.49%,-0.65%,19.65%,1.04%,7.20%,"-$12,570,500.00",$0.00,"-$1,943,500.00","-$22,435,000.00","-$36,403,000.00","-$3,174,775.00",Large Cap Growth Equities,2018-07-23,0.60%,N/A,$0.46,2024-06-27,$0.10,1.19%,0.03,1.01,101,12.98%,40%,20%,1099,$38.53,$39.41,$38.59,$38.70,50.68,B,C+,C+,N/A,A-,B+,N/A,7.15,91.08%,75.92%,32.42,6.56%,10.33%
NULC,Nuveen ESG Large-Cap ETF,"$34,523",18.05%,983,$45.99,-0.07%,1.32%,2.34%,32.98%,6.42%,14.21%,"$4,170,767.23",$0.00,$0.00,"$4,170,767.23","$4,995,632.23","$18,709,062.23",Large Cap Growth Equities,2019-06-03,0.21%,N/A,$0.51,2023-12-14,$0.52,1.12%,0.04,1.03,124,31.25%,40%,20%,1099,$43.48,$46.57,N/A,N/A,60.51,B+,C,B+,N/A,B+,A,N/A,7.7,98.61%,91.88%,43.05,0.38%,9.18%
XUSP,Innovator Uncapped Accelerated U.S. Equity ETF,"$32,369",27.38%,"7,232",$39.17,-0.05%,2.52%,3.05%,46.64%,N/A,N/A,"$10,593,670.00","$1,957,417.50","$2,917,992.50","$8,924,020.00","$25,017,648.12","$25,017,648.12",Large Cap Growth Equities,2022-08-10,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,1.07,3,100.00%,40%,20%,1099,$36.32,$39.65,N/A,N/A,60.70,N/A,B-,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WUGI,AXS Esoterica NextG Economy ETF,"$31,395",36.44%,"2,842",$69.95,0.40%,5.54%,3.97%,62.46%,5.22%,N/A,"$151,717.50",$0.00,$0.00,"-$1,099,162.50","-$11,450,889.33","$19,217,751.88",Large Cap Growth Equities,2020-03-30,0.76%,N/A,$0.00,N/A,N/A,0.00%,0.03,1.22,30,76.00%,40%,20%,1099,$62.04,$70.59,$69.64,$70.33,58.48,C,C+,C,N/A,C,C,N/A,7.65,87.65%,90.79%,32.45,5.19%,17.86%
LFEQ,VanEck Long/Flat Trend ETF,"$26,678",20.66%,"1,795",$48.36,-0.33%,1.78%,2.22%,31.15%,6.45%,13.09%,"-$2,380,255.00",$0.00,$0.00,"-$5,445,117.50","-$15,358,885.00","-$48,021,320.45",Large Cap Growth Equities,2017-10-04,0.61%,N/A,$0.63,2023-12-27,$0.62,1.29%,0.03,0.81,2,100.00%,40%,20%,1099,$45.80,$48.90,N/A,N/A,60.81,B+,C,C+,B+,A,A,N/A,6.7,47.80%,56.14%,96.83,10.89%,7.32%
PSFM,Pacer Swan SOS Flex (April) ETF,"$24,642",11.34%,"2,818",$28.93,-0.17%,0.96%,1.87%,20.90%,8.91%,N/A,"$1,927,500.00",$0.00,$0.00,"$3,235,250.00","$11,556,500.00","$18,005,000.00",Large Cap Growth Equities,2021-03-31,0.60%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.61,3,100.00%,40%,20%,1099,$27.87,$29.13,$28.93,$28.93,62.41,B+,B,B-,A-,A-,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ATFV,Alger 35 ETF,"$23,399",28.68%,"7,131",$22.30,0.27%,4.86%,4.65%,57.14%,0.02%,N/A,"$5,783,650.00","$275,875.00","$275,875.00","$3,994,900.00","$6,368,525.00","$15,628,650.00",Large Cap Growth Equities,2021-05-03,0.55%,N/A,$0.00,2023-12-20,$0.00,0.01%,24.21,1.05,32,63.60%,40%,20%,1099,$19.56,$22.56,$22.27,$22.37,63.98,C,C+,B-,N/A,C,C+,N/A,6.09,5.85%,38.41%,45.63,14.37%,9.50%
SPXV,ProShares S&P 500 Ex-Health Care ETF,"$22,641",21.69%,406,$60.95,-0.38%,1.89%,2.57%,37.52%,10.63%,15.99%,"-$70,652.27",$0.00,$0.00,"-$70,559.36","$11,754,864.47","$12,710,886.47",Large Cap Growth Equities,2015-09-22,0.09%,N/A,$1.10,2024-06-26,$0.19,1.80%,17.88,1.03,442,39.21%,40%,20%,1099,$57.32,$61.70,$60.95,$60.95,60.64,B+,C,A-,B,B,B+,A-,6.7,49.37%,56.42%,108.2,12.34%,7.34%
AFLG,First Trust Active Factor Large Cap ETF,"$20,372",24.15%,"12,494",$33.88,-0.15%,2.05%,2.73%,39.48%,10.30%,N/A,"$14,223,350.00",$0.00,"$1,628,450.00","$12,893,700.00","$14,188,500.00","$14,710,750.00",Large Cap Growth Equities,2019-12-03,0.55%,N/A,$0.33,2024-06-27,$0.02,0.98%,13.84,0.98,252,27.60%,40%,20%,1099,$31.81,$34.21,$33.85,$33.93,64.42,B-,C,C+,N/A,A-,B,N/A,6.53,21.16%,49.18%,139.41,9.99%,5.76%
MSTQ,LHA Market State Tactical Q ETF,"$18,918",16.57%,"2,698",$32.93,0.18%,2.90%,2.11%,31.90%,N/A,N/A,"$4,829,682.50",$0.00,$0.00,"$10,179,122.50","$16,173,880.00","$16,173,880.00",Large Cap Growth Equities,2022-03-15,1.59%,N/A,$0.22,2023-12-14,$0.22,0.66%,0.00,-0.91,6,99.99%,40%,20%,1099,$30.87,$33.24,$32.93,$32.93,56.89,C+,B-,C,B+,B-,C,N/A,6.36,10.07%,44.14%,58.2,3.50%,4.65%
ESGY,American Century Sustainable Growth ETF,"$17,110",21.00%,"2,106",$55.21,0.18%,2.30%,2.50%,39.21%,9.33%,N/A,"$1,570,270.00",$0.00,"-$524,115.00","$2,428,896.00","$7,206,260.00","$7,637,946.00",Large Cap Growth Equities,2021-06-29,0.39%,N/A,$0.13,2024-09-23,$0.02,0.23%,25.91,1.19,87,62.18%,40%,20%,1099,$51.36,$56.01,$55.21,$55.21,58.52,B-,C,B,N/A,C+,B+,N/A,7.2,92.36%,77.95%,29.32,5.36%,12.18%
HIDV,AB US High Dividend ETF,"$15,603",22.37%,752,$70.56,-0.54%,0.87%,1.08%,36.89%,N/A,N/A,"$4,953,096.00",$0.00,$0.00,"$5,001,182.00","$7,061,224.00","$7,061,224.00",Large Cap Growth Equities,2023-03-22,0.45%,N/A,$1.63,2024-09-03,$0.44,2.29%,0.00,0.00,106,33.60%,40%,20%,1099,$67.36,$71.64,$70.56,$70.56,58.87,N/A,N/A,A-,N/A,N/A,C+,N/A,6.48,17.54%,47.69%,157.78,9.07%,8.04%
QRFT,QRAFT AI Enhanced U.S. Large Cap ETF,"$14,633",20.83%,"4,260",$52.98,-0.39%,1.44%,1.99%,35.74%,7.33%,16.83%,"$7,420,749.93",$0.00,"$1,237,000.00","$7,423,924.93","-$3,933,350.07","$6,059,774.93",Large Cap Growth Equities,2019-05-20,0.75%,N/A,$0.28,2024-09-24,$0.06,0.52%,0.03,1.00,351,32.29%,40%,20%,1099,$50.69,$53.52,$52.93,$53.07,59.12,B,C+,C,N/A,B,A,N/A,6.69,44.07%,55.65%,47.55,11.88%,9.78%
IWFG,NYLI Winslow Focused Large Cap Growth ETF,"$10,191",29.40%,869,$46.39,0.22%,3.19%,3.73%,52.17%,N/A,N/A,"$363,670.00",$0.00,$0.00,"$363,670.00","$1,159,180.00","$1,159,180.00",Large Cap Growth Equities,2022-06-23,0.65%,N/A,$0.36,2023-12-15,$0.36,0.78%,33.90,-1.07,28,56.13%,40%,20%,1099,$42.43,$46.99,$46.39,$46.39,60.12,N/A,C,B,N/A,N/A,N/A,N/A,7.09,89.23%,73.44%,26.35,7.90%,9.62%
BDVG,IMGP Berkshire Dividend Growth ETF,"$8,155",11.72%,"2,537",$11.59,-0.60%,0.48%,0.87%,20.94%,N/A,N/A,"$6,294,250.00",$0.00,"$286,500.00","$6,547,500.00","$6,802,750.00","$6,802,750.00",Large Cap Growth Equities,2023-06-30,0.55%,N/A,$0.17,2024-06-27,$0.04,1.43%,N/A,N/A,39,38.46%,40%,20%,1099,$11.36,$11.70,$11.57,$11.62,57.49,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.54,23.56%,49.55%,192.3,5.63%,1.34%
LRND,NYLI U.S. Large Cap R&D Leaders ETF,"$7,505",17.74%,411,$33.20,-0.42%,1.62%,3.18%,34.42%,N/A,N/A,"-$698,325.00",$0.00,$0.00,"$707,300.00","$727,800.00","$727,800.00",Large Cap Growth Equities,2022-02-08,0.14%,N/A,$0.34,2024-06-28,$0.08,1.04%,15.60,1.07,102,49.24%,40%,20%,1099,$31.19,$33.65,$33.20,$33.20,59.04,N/A,C+,A,N/A,C+,N/A,N/A,6.4,11.40%,45.19%,17.36,13.21%,5.64%
GGRW,Gabelli Growth Innovators ETF,"$5,557",34.84%,"2,991",$28.47,-0.04%,2.63%,4.25%,55.39%,1.67%,N/A,"$1,026,900.00",$0.00,"-$965,090.00","$1,210,140.00","$1,102,680.00","$2,260,930.00",Large Cap Growth Equities,2021-02-16,0.90%,N/A,$0.00,N/A,N/A,0.00%,0.03,1.26,34,54.03%,40%,20%,1099,$26.21,$28.82,$28.34,$28.62,61.27,C,C,C,N/A,C,C,N/A,7.07,88.60%,72.80%,13.2,7.39%,8.90%
SPMV,Invesco S&P 500 Minimum Variance ETF,"$5,142",20.24%,402,$46.64,-0.19%,0.63%,2.26%,30.65%,8.81%,11.26%,"-$4,644,520.00","-$7,560.00","-$7,560.00","-$18,957,280.00","-$20,607,380.00","-$1,453,130.00",Large Cap Growth Equities,2017-07-13,0.10%,N/A,$0.86,2024-09-23,$0.19,1.84%,22.57,0.85,76,29.22%,40%,20%,1099,$45.03,$47.20,$46.61,$46.66,62.27,A-,C,A-,B+,A,A,N/A,6.86,74.70%,63.45%,188.3,16.77%,7.21%
VIRS,Pacer BioThreat Strategy ETF,"$3,993",23.21%,165,$39.62,-0.68%,-0.05%,1.52%,34.00%,6.44%,N/A,"-$6,225.00",$0.00,$0.00,"-$802,487.50","-$1,040,245.00","$2,573,080.49",Large Cap Growth Equities,2020-06-24,0.70%,N/A,$0.34,2024-06-27,$0.10,0.86%,0.05,0.82,55,49.93%,40%,20%,1099,$38.41,$40.24,$39.62,$39.62,59.97,C+,C,C,N/A,A,C+,N/A,6.91,74.86%,65.50%,21.18,6.22%,10.14%
SLDR,Global X Short-Term Treasury Ladder ETF,"$2,509",N/A,N/A,$50.23,-0.06%,0.14%,N/A,N/A,N/A,N/A,"$2,501,387.71",-$132.50,"$2,501,387.71","$2,501,387.71","$2,501,387.71","$2,501,387.71",Large Cap Growth Equities,2024-09-10,0.12%,N/A,$0.00,2015-12-23,$0.06,0.00%,16.86,1.31,22,53.09%,40%,20%,1099,N/A,N/A,$50.23,$50.24,"",C,C+,B,N/A,N/A,C+,C,0.0,N/A,N/A,N/A,N/A,N/A
