Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,"$1,004,680",18.39%,"7,865",$194.30,-0.37%,2.05%,2.28%,32.43%,6.72%,12.14%,"-$9,028,180.00",$0.00,$0.00,"-$65,260,655.00","-$138,396,345.00","$244,567,025.00",Large Cap Growth Equities,2014-12-09,0.20%,N/A,$3.33,2024-06-11,$1.49,1.71%,16.58,0.94,1049,21.50%,40%,20%,1099,$184.27,$195.86,$193.90,$195.04,61.16,A-,B,B+,C+,A-,B+,A,6.87,28.66%,63.90%,49.68,8.16%,7.89%
EPS,WisdomTree U.S. LargeCap Fund,"$999,086",19.39%,"39,634",$59.38,-0.74%,0.97%,1.56%,32.02%,9.65%,14.22%,"$98,195,405.00","$8,954,665.00","$17,572,800.00","$109,849,390.00","$204,620,770.00","$356,735,195.00",Large Cap Growth Equities,2007-02-23,0.08%,E*TRADE,$0.88,2024-06-25,$0.22,1.48%,14.61,1.00,501,34.04%,40%,20%,1099,$56.76,$60.26,$59.28,$59.53,58.71,A,B,A,B-,A-,A,A-,6.41,12.27%,45.57%,90.24,10.25%,4.45%
RECS,Columbia Research Enhanced Core ETF,"$993,682",21.40%,"262,946",$33.64,-0.53%,1.42%,1.36%,35.80%,11.17%,N/A,"$583,934,575.00","$26,928,500.00","$61,136,750.00","$617,165,525.00","$819,903,450.00","$810,500,879.40",Large Cap Growth Equities,2019-09-25,0.15%,N/A,$0.28,2023-12-18,$0.28,0.82%,15.86,0.99,369,44.30%,40%,20%,1099,$32.03,$34.07,N/A,N/A,59.44,A-,B-,A-,N/A,A-,B,N/A,6.63,33.00%,52.72%,98.61,9.74%,8.21%
JHML,John Hancock Multifactor Large Cap ETF,"$950,121",17.67%,"27,957",$68.85,-0.42%,1.43%,2.18%,32.11%,8.47%,14.10%,"$38,966,335.00",$0.00,"$9,823,625.00","-$9,414,380.00","$40,844,697.50","-$445,794,480.00",Large Cap Growth Equities,2015-09-28,0.29%,N/A,$0.81,2024-06-26,$0.34,1.16%,17.95,1.01,772,20.95%,40%,20%,1099,$65.47,$69.61,$68.73,$69.05,61.04,A-,B,B,C+,A-,A-,A,6.7,47.12%,56.08%,125.77,9.64%,5.60%
PWB,Invesco Large Cap Growth ETF,"$937,166",27.03%,"19,083",$98.70,0.05%,2.96%,4.21%,46.78%,8.46%,15.67%,"$28,269,280.00",$0.00,"$4,134,570.00","$24,087,510.00","-$66,525,630.00","-$339,154,290.00",Large Cap Growth Equities,2005-03-03,0.56%,N/A,$0.14,2024-03-18,$0.01,0.14%,22.28,1.01,51,33.89%,40%,20%,1099,$91.30,$99.59,$98.55,$98.94,63.63,C+,B,C+,B-,C+,C,C+,6.87,75.41%,63.72%,53.99,10.91%,5.44%
CATH,Global X S&P 500 Catholic Values Custom ETF,"$909,916",19.03%,"30,748",$68.75,-0.15%,1.81%,2.31%,33.44%,8.64%,14.93%,"-$4,688,288.07","-$7,163,063.60","-$13,315,693.61","$5,921,304.93","$152,987,336.90","$274,242,421.01",Large Cap Growth Equities,2016-04-18,0.29%,N/A,$0.67,2024-06-27,$0.26,0.98%,17.65,1.01,437,33.66%,40%,20%,1099,$65.11,$69.40,$68.57,$68.93,61.13,B+,B+,B,B,B+,B,A-,6.83,71.03%,62.05%,100.84,4.52%,7.48%
QGRO,American Century U.S. Quality Growth ETF ,"$899,472",19.49%,"51,194",$90.67,-0.48%,2.11%,3.22%,36.78%,7.09%,17.60%,"-$73,523,397.50","-$2,220,442.50","$18,161,520.00","$3,129,737.50","$415,552,955.00","$520,443,085.00",Large Cap Growth Equities,2018-09-10,0.29%,N/A,$0.30,2024-09-23,$0.08,0.33%,17.98,1.08,184,25.67%,40%,20%,1099,$84.65,$91.72,$90.43,$91.01,62.37,B-,C+,B,B,C+,C+,N/A,6.75,60.17%,58.63%,28.04,3.80%,9.27%
ARKF,ARK Fintech Innovation ETF,"$891,978",7.36%,"409,598",$29.61,-0.94%,2.56%,5.94%,59.19%,-17.13%,6.88%,"-$340,358,400.00","-$4,433,400.00","-$14,093,250.00","-$347,083,550.00","-$1,149,141,618.21","$2,093,349,281.79",Large Cap Growth Equities,2019-02-04,0.75%,N/A,$0.00,2020-12-29,$0.18,0.00%,0.00,1.50,36,53.63%,40%,20%,1099,$26.30,$30.26,$29.49,$29.85,60.80,B-,A,C,B+,C,C+,N/A,5.25,22.49%,25.40%,9.83,5.80%,1.53%
SFY,SoFi Select 500 ETF,"$886,396",23.17%,"237,320",$20.76,0.05%,2.87%,2.98%,38.44%,9.22%,16.61%,"$141,458,395.00","$6,200,590.00","$17,079,605.00","$172,092,770.00","$382,056,390.00","$578,368,465.00",Large Cap Growth Equities,2019-04-11,0.05%,N/A,$0.22,2024-06-26,$0.10,1.12%,0.04,1.02,502,43.22%,40%,20%,1099,$19.27,$20.94,$20.72,$20.81,61.13,A-,A-,A,N/A,B-,B,N/A,6.86,74.10%,63.31%,66.14,15.68%,14.13%
GSEW,Goldman Sachs Equal Weight U.S. Large Cap Equity ETF,"$859,219",15.43%,"50,200",$76.65,-0.64%,0.99%,2.58%,31.17%,5.33%,12.02%,"$215,337,000.00",$0.00,"$25,938,000.00","$264,552,500.00","-$38,414,500.00","$437,900,500.00",Large Cap Growth Equities,2017-09-12,0.09%,N/A,$1.16,2024-09-24,$0.25,1.52%,17.62,1.05,495,2.53%,40%,20%,1099,$73.00,$77.63,$76.39,$77.02,61.29,A-,B,A-,B-,B+,A-,N/A,6.77,62.84%,59.48%,182.51,8.76%,5.41%
